id,indivfinfeel,immfeel
765,real estate market slow down is hitting hard on our personal finance.  That was the major source of our income and it's really down.,"I feel that Canada's immigration policy for refugee makes Canada look good in front of the entire world but is it really working for Canadians.  A BIG NO.. Canada has forgotten to reunite the families, Siblings,  They need to think about the mental health of their citizens and bring a policy to reunite the families.  Isn't that also a humanity. Stop pretending good in front of the world. one way to help is let the families or siblings to immigrate to northern Canada.  They need people there. At least they will be in the same country.  Family plays a important role in overall mental health.  Lot of mental health issues will disappear."
766,I have no personal debt and live within my means = happy! I.E. I would never let any government handle my personal finances!,"Having lived in Montreal for most of my life, I personally think its great. I love the diversity."
767,I was always very careful. I have saved money and have a small pension. Thus I am ok.,Immigrants often take jobs that people here won't take. There is difficulty with housing. most immigrants work hard and try to get on in Canada.
768,,
769,Overwhelmed...must use savings to keep bills up to date,Doesn't seem to be enough screening...don't think that immigrants should receive more help than seniors or single parents
770,getting worse,they need to speed up the progress
771,,
772,"I am comfortable, with nothing to complain about. Just wish I had a bit more left over for furniture purchases.",I like to see new people coming into Canada. It opens our eyes to others values and beliefs.
773,Ok,Need better screening but generally its a good thing.
774,I feel stressed and anxious.,I think immigrants add to the diversity of our country.
775,double income and still struggling!,no comment
776,,
777,"getting by with a few luxuries, but could be better",I feel we have done our part for helping other countries and now it's time to help our own country and stopping sending money to other countries or bringing in immigrants that takes away jobs and housing for our own citizens. The immigrants are being treated better than our own countries Inuit and natives who were here first!
778,,"The immigration of Canada should carefully check the persons background, criminal and police clearance before sending to our beautiful land of peace and prosperity in Canada. Do not allow fraud, corruption and criminal people from other countries without checking their family and personal background."
779,struggling,"I don't have a problem with immigration per say. What I disagree with is people being handed everything on a silver platter upon arrival before they've ever contributed a thing to our great country.



I, myself, am an immigrant and had to work my butt off for everything I've ever gotten.  My family had to wait years before we were allowed to apply for citizenship.  We had to assimilate to the Canadian culture.  We Worked hard at multiple jobs (often concurrently), paid taxes, and contributed to our community in many ways, including becoming business owners and creating employment for others as well as ourselves.  I see all of these things as positive.  They create a culture and mindset of contribution and not of entitlement.



The current immigration policies are far too lax and are creating a society that feels entitled to anything and everything they want.  No wonder our society is coming apart at the seems.  Stop the nonsense once and for all."
